Date,temperature,ACPower,date,weekday,time
2019-03-07 16:25:00,20.497999999999998,10.31,2019-03-07,3,16:25:00
2019-03-07 16:30:00,20.656,9.99,2019-03-07,3,16:30:00
2019-03-07 16:35:00,21.438,0.0,2019-03-07,3,16:35:00
2019-03-07 16:40:00,22.3,0.0,2019-03-07,3,16:40:00
2019-03-07 16:45:00,22.759999999999998,0.0,2019-03-07,3,16:45:00
2019-03-07 16:50:00,23.326,0.0,2019-03-07,3,16:50:00
2019-03-07 16:55:00,23.6,0.0,2019-03-07,3,16:55:00
2019-03-07 17:00:00,23.978,0.0,2019-03-07,3,17:00:00
2019-03-07 17:05:00,24.381999999999998,0.0,2019-03-07,3,17:05:00
2019-03-07 17:10:00,24.332,0.0,2019-03-07,3,17:10:00
2019-03-07 17:15:00,24.5,0.0,2019-03-07,3,17:15:00
2019-03-07 17:20:00,24.701999999999998,0.0,2019-03-07,3,17:20:00
2019-03-07 17:25:00,24.842000000000002,0.0,2019-03-07,3,17:25:00
2019-03-07 17:30:00,25.064,0.0,2019-03-07,3,17:30:00
2019-03-07 17:35:00,25.522,0.0,2019-03-07,3,17:35:00
2019-03-07 17:40:00,25.168,0.0,2019-03-07,3,17:40:00
2019-03-07 17:45:00,25.240000000000002,0.0,2019-03-07,3,17:45:00
2019-03-07 17:50:00,25.324,0.0,2019-03-07,3,17:50:00
2019-03-07 17:55:00,25.36,0.0,2019-03-07,3,17:55:00
2019-03-07 18:00:00,25.196,0.0,2019-03-07,3,18:00:00
2019-03-07 18:05:00,25.407999999999998,0.0,2019-03-07,3,18:05:00
2019-03-07 18:10:00,25.246000000000002,0.0,2019-03-07,3,18:10:00
2019-03-07 18:15:00,25.178,0.0,2019-03-07,3,18:15:00
2019-03-07 18:20:00,25.186,0.0,2019-03-07,3,18:20:00
2019-03-07 18:25:00,25.186,0.0,2019-03-07,3,18:25:00
2019-03-07 18:30:00,25.186,0.0,2019-03-07,3,18:30:00
2019-03-07 18:35:00,25.182,0.0,2019-03-07,3,18:35:00
2019-03-07 18:40:00,25.168,0.0,2019-03-07,3,18:40:00
2019-03-07 18:45:00,25.16,0.0,2019-03-07,3,18:45:00
2019-03-07 18:50:00,25.144,0.0,2019-03-07,3,18:50:00
2019-03-07 18:55:00,25.148,0.0,2019-03-07,3,18:55:00
2019-03-07 19:00:00,25.15,0.0,2019-03-07,3,19:00:00
2019-03-07 19:05:00,25.112000000000002,0.0,2019-03-07,3,19:05:00
2019-03-07 19:10:00,25.264,0.0,2019-03-07,3,19:10:00
2019-03-07 19:15:00,25.113999999999997,0.0,2019-03-07,3,19:15:00
2019-03-07 19:20:00,25.136,0.0,2019-03-07,3,19:20:00
2019-03-07 19:25:00,25.158,0.0,2019-03-07,3,19:25:00
2019-03-07 19:30:00,25.174,0.0,2019-03-07,3,19:30:00
2019-03-07 19:35:00,25.194,0.0,2019-03-07,3,19:35:00
2019-03-07 19:40:00,25.201999999999998,0.0,2019-03-07,3,19:40:00
2019-03-07 19:45:00,25.204,0.0,2019-03-07,3,19:45:00
2019-03-07 19:50:00,25.169999999999998,0.0,2019-03-07,3,19:50:00
2019-03-07 19:55:00,25.131999999999998,0.0,2019-03-07,3,19:55:00
2019-03-07 20:00:00,25.360000000000003,0.0,2019-03-07,3,20:00:00
2019-03-08 07:00:00,24.772,0.0,2019-03-08,4,07:00:00
2019-03-08 07:05:00,24.794,0.0,2019-03-08,4,07:05:00
2019-03-08 07:10:00,24.836,0.0,2019-03-08,4,07:10:00
2019-03-08 07:15:00,24.874000000000002,0.0,2019-03-08,4,07:15:00
2019-03-08 07:20:00,24.880000000000003,0.0,2019-03-08,4,07:20:00
2019-03-08 07:25:00,24.907999999999998,0.0,2019-03-08,4,07:25:00
2019-03-08 07:30:00,24.928,0.0,2019-03-08,4,07:30:00
2019-03-08 07:35:00,24.968,0.0,2019-03-08,4,07:35:00
2019-03-08 07:40:00,25.076,0.0,2019-03-08,4,07:40:00
2019-03-08 07:45:00,24.98,1.02,2019-03-08,4,07:45:00
2019-03-08 07:50:00,24.657999999999998,9.82,2019-03-08,4,07:50:00
2019-03-08 07:55:00,24.34,18.84,2019-03-08,4,07:55:00
2019-03-08 08:00:00,23.558,18.67,2019-03-08,4,08:00:00
2019-03-08 08:05:00,22.568,10.65,2019-03-08,4,08:05:00
2019-03-08 08:10:00,22.02,10.0,2019-03-08,4,08:10:00
2019-03-08 08:15:00,21.624000000000002,9.92,2019-03-08,4,08:15:00
2019-03-08 08:20:00,21.362000000000002,10.0,2019-03-08,4,08:20:00
2019-03-08 08:25:00,21.43,9.88,2019-03-08,4,08:25:00
2019-03-08 08:30:00,21.048,9.97,2019-03-08,4,08:30:00
2019-03-08 08:35:00,20.792,9.81,2019-03-08,4,08:35:00
2019-03-08 08:40:00,20.732,5.39,2019-03-08,4,08:40:00
2019-03-08 08:45:00,20.956,6.09,2019-03-08,4,08:45:00
2019-03-08 08:50:00,21.176,10.05,2019-03-08,4,08:50:00
2019-03-08 08:55:00,21.444,9.96,2019-03-08,4,08:55:00
2019-03-08 09:00:00,21.262,9.92,2019-03-08,4,09:00:00
2019-03-08 09:05:00,21.272,9.92,2019-03-08,4,09:05:00
2019-03-08 09:10:00,21.194,9.92,2019-03-08,4,09:10:00
2019-03-08 09:15:00,20.901999999999997,1.38,2019-03-08,4,09:15:00
2019-03-08 09:20:00,21.116,10.18,2019-03-08,4,09:20:00
2019-03-08 09:25:00,21.428,10.03,2019-03-08,4,09:25:00
2019-03-08 09:30:00,20.99,5.49,2019-03-08,4,09:30:00
2019-03-08 09:35:00,21.188,1.01,2019-03-08,4,09:35:00
2019-03-08 09:40:00,21.342,10.15,2019-03-08,4,09:40:00
2019-03-08 09:45:00,21.380000000000003,9.93,2019-03-08,4,09:45:00
2019-03-08 09:50:00,21.192,9.94,2019-03-08,4,09:50:00
2019-03-08 09:55:00,21.336000000000002,9.91,2019-03-08,4,09:55:00
2019-03-08 10:00:00,21.302,10.1,2019-03-08,4,10:00:00
2019-03-08 10:05:00,21.248,10.15,2019-03-08,4,10:05:00
2019-03-08 10:10:00,20.932,10.05,2019-03-08,4,10:10:00
2019-03-08 10:15:00,20.85,1.0,2019-03-08,4,10:15:00
2019-03-08 10:20:00,21.284,10.39,2019-03-08,4,10:20:00
2019-03-08 10:25:00,21.259999999999998,10.17,2019-03-08,4,10:25:00
