,forward,installCost,power,backward,noOfSens
47,0.06362565896649293,450.0,60.0,0.33294127035185767,76
48,0.14869734781741023,900.0,120.0,0.21741753527146732,56
49,0.3189490771410522,450.0,60.0,0.041624204123647875,67
50,0.2882228004599703,450.0,60.0,0.05365915074990116,74
51,0.32484027518726066,450.0,60.0,0.037684564681683116,65
52,0.2617371866355979,1350.0,180.0,0.07897091496741919,73
53,0.03695769198372839,1350.0,180.0,0.3683082150809462,81
54,0.03126893282143455,900.0,120.0,0.37844980053868915,78
55,0.3333613892548657,450.0,60.0,0.027570724570551805,63
56,0.25540243717923167,450.0,60.0,0.08622991667162604,77
57,0.24806757028143586,450.0,60.0,0.09509445688987415,79
58,0.22021824073231053,1350.0,180.0,0.14305060646812107,81
59,0.06881839410004179,450.0,60.0,0.29458037120830954,72
60,0.10259002229516423,450.0,60.0,0.2460376363385418,62
61,0.23412248212367529,1350.0,180.0,0.1174236687284414,80
62,0.31420410657319126,900.0,120.0,0.03969994659222048,68
63,0.20538478174956956,1350.0,180.0,0.1998743836025749,83
64,0.21400659990989654,1350.0,180.0,0.15828917251393704,87
65,0.09631721896367684,450.0,60.0,0.2505205925687602,66
66,0.02751756733885639,900.0,120.0,0.38706871419239225,82
67,0.31083532896835814,450.0,60.0,0.045158389037330264,68
68,0.12798705261687696,450.0,60.0,0.23142715852928486,62
69,0.1648161121528822,450.0,60.0,0.21345909950990638,55
70,0.21431577578811334,1350.0,180.0,0.15485674876630032,84
71,0.03860602645477746,2250.0,300.0,0.3253814554067029,74
72,0.05266824994434377,450.0,60.0,0.3493515001630995,77
73,0.028347591918206447,2250.0,300.0,0.3743745138175382,80
74,0.2181876788319291,450.0,60.0,0.19050593174744992,86
75,0.26598728367043817,450.0,60.0,0.0814213629945324,73
76,0.21767304212521477,1350.0,180.0,0.14763540807622208,81
77,0.09954599125890447,450.0,60.0,0.24930453547331288,63
78,0.2862126406935848,450.0,60.0,0.060324046338568714,73
79,0.056128114157922106,1350.0,180.0,0.3105710506021487,72
80,0.05681965601397212,450.0,60.0,0.3448013834609525,75
81,0.2535215993077056,450.0,60.0,0.09317493820409628,78
82,0.24237689097605708,1350.0,180.0,0.10765142682599733,78
83,0.0961164087430208,450.0,60.0,0.2576577511634623,62
84,0.06443317201921454,1350.0,180.0,0.29136099634179274,69
85,0.0543047406806779,1350.0,180.0,0.31401305865373513,71
86,0.14956754951970253,900.0,120.0,0.21560627724620207,60
87,0.07366302703054789,1350.0,180.0,0.2820539496043524,71
88,0.2072274136062815,900.0,120.0,0.19883457582176947,86
89,0.06496738876840318,900.0,120.0,0.2989235007004146,74
90,0.03794405682313217,1350.0,180.0,0.329692802839701,80
91,0.2621126732874936,450.0,60.0,0.08352497337276925,76
92,0.28252686286607837,450.0,60.0,0.06593847575080952,73
93,0.2309074482306576,2250.0,300.0,0.11651260145265879,77
94,0.25362328393980876,450.0,60.0,0.08967198356776623,78
95,0.05167928832211924,900.0,120.0,0.3542388608269436,76
96,0.1060546235346459,450.0,60.0,0.24349873121954915,67
97,0.284582642982968,450.0,60.0,0.06065727418211001,73
98,0.21934209182686837,450.0,60.0,0.17945516996751945,86
99,0.027304767804315427,2250.0,300.0,0.38089417807612064,78
