,forward,installCost,power,backward,noOfSens
57,0.03119406449050681,1800.0,600.0,0.38923204872495387,60
58,0.21188116712769245,2400.0,800.0,0.14606700305433984,80
59,0.5114343319543152,1080.0,360.0,0.025229127260331555,36
60,0.09578389686232351,1590.0,530.0,0.2942112056347574,53
61,0.20329161829083167,2310.0,770.0,0.18615522929957837,77
62,0.5231485726791464,1230.0,410.0,0.01282254977723194,41
63,0.08738866489157741,1560.0,520.0,0.3222229181333602,52
64,0.22030669339582118,2190.0,730.0,0.1769404828717236,73
65,0.013634454392933294,2160.0,720.0,0.5065024940915772,72
66,0.21921666648322646,2220.0,740.0,0.15964904613540098,74
67,0.09330335457886389,1500.0,500.0,0.31553884276780536,50
68,0.3660104436428397,1440.0,480.0,0.049199273792224836,48
69,0.2164647534551769,2010.0,670.0,0.2029604443089179,67
70,0.023326460351984397,1920.0,640.0,0.39932320342080563,64
71,0.24162720089568224,1860.0,620.0,0.11215438530717026,62
72,0.09151357741065579,1620.0,540.0,0.3163793781733217,54
73,0.1019159732184088,1410.0,470.0,0.30745685121338256,47
74,0.22348166570217576,2010.0,670.0,0.19071453051659837,67
75,0.20616162532573212,2370.0,790.0,0.18167575027983984,79
76,0.23893050283140324,2430.0,810.0,0.11680396709947606,81
77,0.24806175775463368,2220.0,740.0,0.10566274213607452,74
78,0.026265026144756384,1950.0,650.0,0.39853031925802734,65
79,0.08891896427660624,1740.0,580.0,0.29650925222038116,58
80,0.043544406436773354,1830.0,610.0,0.37608110867676964,61
81,0.29750409263118066,2040.0,680.0,0.0763163987053568,68
82,0.2223935680465002,2100.0,700.0,0.18570967523790363,70
83,0.43657178129243857,1260.0,420.0,0.08359848160558796,42
84,0.2083095927973603,2370.0,790.0,0.17833644620889122,79
85,0.19400196247152568,2220.0,740.0,0.1918678330866684,74
86,0.20706072904710604,2310.0,770.0,0.18010216431945833,77
87,0.4965300187559439,1320.0,440.0,0.024241577712709527,44
88,0.17740936915804628,1440.0,480.0,0.20727633494931316,48
89,0.4676908828695355,1350.0,450.0,0.019948525987517066,45
90,0.02453355649326708,1860.0,620.0,0.3987243837075425,62
91,0.26731367622443486,2310.0,770.0,0.10150568090928636,77
92,0.1029901140765777,1440.0,480.0,0.2834488798953051,48
93,0.02118708729392427,2130.0,710.0,0.4317046594070156,71
94,0.020538193859306973,1950.0,650.0,0.5662948950406499,65
95,0.3059941695921853,1740.0,580.0,0.12260586965880305,58
96,0.47165245491900504,1260.0,420.0,0.0349024676600051,42
97,0.3269668811139164,1800.0,600.0,0.06606183713708245,60
98,0.42463507466274186,1320.0,440.0,0.05232201953321869,44
99,0.32169526049837865,1620.0,540.0,0.1005110037021586,54
