,Floor4Z5,Floor4Z4,Floor2Z2,Floor6Z4,Floor6Z5,Floor2Z1,Floor6Z1,Floor4Z2,Floor2Z4,Floor6Z2,Floor4Z1,Floor7Z4,Floor3Z1,Floor7Z5,Floor5Z5,Floor3Z2,Floor5Z4,Floor7Z2,Floor5Z1,Floor7Z1,Floor3Z5,Floor3Z4,Floor5Z2
10,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,-1000.0,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
11,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,-1000.0,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
12,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,-1000.0,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
13,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,-1000.0,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
14,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,-1000.0,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
15,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,-1000.0,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
16,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,-1000.0,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
17,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,-1000.0,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
18,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,-1000.0,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
19,8.430014883997364e-16,5.470541573657866e-16,3.321989417307458,8.430014883997364e-16,6.636394695912816e-16,7.667726304061426e-16,6.950278228827613e-16,5.470541573657866e-16,5.470541573657866e-16,6.950278228827613e-16,5.470541573657866e-16,5.156658040743067e-16,5.156658040743067e-16,5.156658040743067e-16,6.636394695912816e-16,8.430014883997364e-16,6.636394695912816e-16,6.950278228827613e-16,5.470541573657865e-16,-1000.0,6.636394695912816e-16,6.636394695912816e-16,5.470541573657865e-16
20,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,-1000.0,1.0358156586188242e-15,7.39868327584875e-16
21,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,-1000.0,7.39868327584875e-16
22,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,-1000.0
