,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,0,1,2,3,0
20,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,3.2967069196171317,1.2662367722825791,0.07161747593356606,0.22704875179809714,0.0
21,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,1.0147606590273703,0.5472381439047034,0.059134666243520574,1.1534925475835822,0.0
22,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,False,True,True,True,False,False,True,True,True,False,False,False,True,False,True,3.4934462845395906,0.9597528485094987,0.07563736379985189,0.5238911809468215,0.0
23,False,True,True,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,2.842449272420124,1.9049672842725294,0.06992489156881414,0.224437759160775,0.0
24,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,0.3429222260668687,0.15102766805654613,0.05278747487570084,1.5442335553820394,0.0
25,False,True,False,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False,True,1.5961479370713523,0.773039911201594,0.07690680207341585,0.6691720976736635,0.0
26,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,4.000560486054241,1.2028078097944463,0.0659050037025283,0.33896536244491715,0.0
27,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,True,4.07945837509284,1.7433769149624763,0.06442399238337036,0.27660163527972687,0.0
28,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,True,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,1.6411390221426139,0.9132328020953885,0.07563736379985189,0.6085691523654364,0.0
29,True,True,True,True,False,False,True,False,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False,True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,0.2915818552403305,0.14468436933024034,0.05088331746535491,1.6103626637076573,0.0
